Date, File Name, Size, Backup Type, Total Timer, Computer Name, Upload Timer
Apr-20-2018, SBS-Backup-Apr-20-2018, 904.8 MB, DEV, 00 HH 01 MM, LAPTOP-NICHO, ---
Apr-20-2018, SBS-Backup-Apr-20-2018, 121.0 MB, SRV, 00 HH 01 MM, LAPTOP-NICHO, 00 HH 00 MM
Apr-20-2018, SBS-Backup-Apr-20-2018, 904.8 MB, DEV, 00 HH 01 MM, LAPTOP-NICHO, ---
Apr-20-2018, SBS-Backup-Apr-20-2018, 121.0 MB, DEV & SRV, 00 HH 03 MM, LAPTOP-NICHO, 00 HH 00 MM
Apr-20-2018, SBS-Backup-Apr-20-2018, 904.8 MB, DEV, 00 HH 01 MM, LAPTOP-NICHO, ---
Apr-20-2018, SBS-Backup-Apr-20-2018, 904.8 MB, DEV & SRV, 00 HH 04 MM, LAPTOP-NICHO, ---
Apr-22-2018, SBS-Backup-Apr-22-2018, 904.8 MB, DEV, 00 HH 01 MM, LAPTOP-NICHO, ---
Apr-22-2018, SBS-Backup-Apr-22-2018, 904.8 MB, DEV & SRV, 00 HH 25 MM, LAPTOP-NICHO, 00 HH 21 MM
Apr-23-2018, SBS-Backup-Apr-23-2018, 99.7 MB, DEV, 00 HH 00 MM, LAPTOP-NICHO, ---
Apr-23-2018, SBS-Backup-Apr-23-2018, 99.7 MB, SRV, 00 HH 01 MM, LAPTOP-NICHO, 00 HH 01 MM
Apr-25-2018, SBS-Backup-Apr-25-2018, 99.7 MB, SRV, 00 HH 05 MM, LAPTOP-NICHO, ---
Apr-25-2018, SBS-Backup-Apr-25-2018, 99.7 MB, SRV, 00 HH 01 MM, LAPTOP-NICHO, 00 HH 01 MM
Apr-25-2018, SBS-Backup-Apr-25-2018, 99.7 MB, SRV, 00 HH 01 MM, LAPTOP-NICHO, 00 HH 01 MM
Apr-28-2018, SBS-Backup-Apr-28-2018, 17.6 GB, DEV, 00 HH 34 MM, LAPTOP-NICHO, ---
Apr-29-2018, SBS-Backup-Apr-29-2018, 8.1 GB, SRV, 00 HH 16 MM, LAPTOP-NICHO, ---
May-24-2018, SBS-Backup-May-24-2018, 99.7 MB, SRV, 00 HH 01 MM, LAPTOP-NICHO, 00 HH 00 MM
May-28-2018, SBS-Backup-May-28-2018, 99.7 MB, DEV, 00 HH 00 MM, LAPTOP-NICHO, ---
